"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value","sigma"
"96",0.00364870469197968,0.000135139422969168,8.32455062986133e-05,1.3202067621512e-05,2.99265722345996e-121,4.29084549778368e-10,0.00429692366007177
"97",0.00364782030945716,0.00013459036727547,8.14626110283197e-05,1.3148429162527e-05,5.88985116855385e-122,8.44652368838998e-10,0.00427946576104339
"98",0.00364766447388229,0.000133967950200526,7.94124927429169e-05,1.3087623868767e-05,8.30229606829073e-123,1.83326193278556e-09,0.00425967524694322
"99",0.00364803537542292,0.000133270999428399,7.71873866264334e-05,1.30195372141083e-05,8.47849268177167e-124,4.19282812172301e-09,0.00423751484254856
"100",0.00364870565454331,0.000132587565954614,7.51520631469535e-05,1.29527710940712e-05,8.51120931677203e-125,8.76737840179625e-09,0.0042157842372295
"101",0.00364916257960052,0.000131968391149802,7.3038048762728e-05,1.28922825448153e-05,1.05619285944227e-125,1.91478994580799e-08,0.00419609681508379
"102",0.00364900104465021,0.000131368948129679,7.10798619096292e-05,1.28337216370282e-05,1.4761253531598e-126,3.89148039020755e-08,0.00417703678922726
"103",0.0036482460340416,0.000130712191961359,6.95918299422811e-05,1.27695616816688e-05,1.79261053766134e-127,6.33894190709633e-08,0.00415615442154692
"104",0.00364690889533295,0.000130012841668788,6.84535583967179e-05,1.27012406125774e-05,1.9759309078172e-128,8.79729239263655e-08,0.00413391772145747
"105",0.0036454640128865,0.000129350033495169,6.77831963477722e-05,1.26364894235021e-05,2.44012297782341e-129,1.00915327419764e-07,0.00411284292284773
"106",0.00364321118401563,0.000128642972243093,6.7404262696137e-05,1.25674150538076e-05,2.78907027816717e-130,1.01279769725552e-07,0.00409036104334568
"107",0.00364033677885985,0.000127932572390867,6.73680158125673e-05,1.24980145289176e-05,3.31756855369932e-131,8.76026153430907e-08,0.00406777300895816
"108",0.00363648968182264,0.000127229158110478,6.79092397458912e-05,1.24292964399129e-05,4.45285229236253e-132,5.87755460431655e-08,0.00404540708939278
"109",0.00363279206022118,0.000126580759246372,6.87875392925966e-05,1.23659529279935e-05,6.98141217662209e-133,3.40361068336372e-08,0.00402479045244759
"110",0.00362932978225585,0.000125952124939511,6.97923561182632e-05,1.23045402591657e-05,1.11908946983997e-133,1.84226459672299e-08,0.00400480225383512
"111",0.00362578187054356,0.000125342815443674,7.09119062762327e-05,1.22450154736536e-05,1.90922043231513e-134,9.33748829833263e-09,0.00398542851128504
"112",0.00362210741479385,0.0001247446428545,7.20611291129116e-05,1.21865786770616e-05,3.38742602236665e-135,4.59069020100064e-09,0.00396640888033831
"113",0.00361900884795716,0.000124182426926172,7.34707366668228e-05,1.21316545657948e-05,6.27398618897472e-136,1.96582994902363e-09,0.00394853253551291
"114",0.00361781898992561,0.00012369357407956,7.49695262633794e-05,1.20838974554258e-05,1.17901893241438e-136,8.01986442975441e-10,0.00393298885982783
"115",0.00361695673288824,0.000123157811143419,7.61460686798025e-05,1.20315575951792e-05,1.75502669251307e-137,3.71013374550226e-10,0.00391595362032547
"116",0.0036164060818935,0.000122648663927568,7.72956852580214e-05,1.19818178832188e-05,2.72973628562739e-138,1.7210769726698e-10,0.00389976466028566
"117",0.00361627253629333,0.000122141359788493,7.8624109981592e-05,1.19322582254846e-05,3.98611592007368e-139,7.11325079267386e-11,0.0038836343031319
"118",0.00361662111295727,0.000121647492728161,7.99285979530447e-05,1.1884011265543e-05,5.66365035100325e-140,2.92285614632688e-11,0.00386793119437324
"119",0.00361718238140343,0.000121191377810338,8.13164242926059e-05,1.18394523954813e-05,8.9224537444525e-141,1.13540955371874e-11,0.00385342846127695
"120",0.0036173267380648,0.000120735772507479,8.28698278252338e-05,1.17949433108271e-05,1.46650572918347e-141,3.91114061549506e-12,0.00383894193201335
"121",0.00361746428435629,0.000120230909178133,8.48148394141769e-05,1.17456221011667e-05,1.95634907671692e-142,1.01571878172639e-12,0.00382288918339785
"122",0.00361781322045118,0.000119741572232044,8.71508298332176e-05,1.16978176980545e-05,2.65385073739153e-143,2.00063628820948e-13,0.00380733011517632
"123",0.0036185119805102,0.000119240045487533,8.93833009982831e-05,1.16488224467092e-05,3.21663233077686e-144,3.94912497068806e-14,0.00379138345736691
"124",0.00361925956799045,0.000118760778594437,9.16805828710938e-05,1.16020018092343e-05,4.16457811390429e-145,7.15131482082385e-15,0.00377614457882808
"125",0.00362026598574649,0.000118316347303706,9.40800302047227e-05,1.15585843384146e-05,5.90824193191452e-146,1.16349119409618e-15,0.00376201334098156
"126",0.00362069002693858,0.00011787369243553,9.60174277185412e-05,1.15153404102237e-05,8.99711491608765e-147,2.45333737447299e-16,0.00374793858666844
"127",0.00362069738507381,0.00011738745930597,9.74601444370629e-05,1.14678392257785e-05,1.19125465939695e-147,6.83176277705664e-17,0.00373247820809931
"128",0.00362116956949437,0.000116872340099909,9.87359607121464e-05,1.14175160969524e-05,1.28898629207442e-148,2.04138081757884e-17,0.00371609936130796
"129",0.00362173911284729,0.000116417354389478,9.99003410533374e-05,1.13730675416459e-05,1.74182069583846e-149,6.67484510679704e-18,0.00370163253274535
"130",0.00362211567225577,0.000115947395467963,0.000101127045402662,1.13271562203982e-05,2.23111690073165e-150,2.01634921805439e-18,0.0036866896125763
