"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value"
"42",-0.142487859998612,0.0173082029411862,-0.000750710543404337,0.000965275196625408,3.59918160725435e-16,0.436843687667818
"43",-0.142720777893976,0.0174834424385498,-0.000967306146411734,0.000974875836192813,6.26351237676001e-16,0.321223254237814
"44",-0.143308104207063,0.0176506403950594,-0.00116222952351807,0.000984022436472187,8.89426773529101e-16,0.237727183767246
"45",-0.143915962594623,0.0178162141993552,-0.00135612055878407,0.000993077564421979,1.23408977818614e-15,0.172252730950939
"46",-0.144406887966432,0.0179846385719915,-0.00155593854511871,0.00100229844608511,1.80659141017189e-15,0.120759076282415
"47",-0.145030884942565,0.0181556740481537,-0.00174709565590468,0.00101166860747265,2.49719356423211e-15,0.0843587294468141
"48",-0.145713174127977,0.0183257345475234,-0.00193409060818179,0.00102099484713185,3.33122666179525e-15,0.0583517822894179
"49",-0.1466564665753,0.0184875707461598,-0.00210339173895602,0.00102986410354514,3.85035106991589e-15,0.0412658590270011
"50",-0.14786785750267,0.0186427734175298,-0.00225617045929438,0.00103836977441422,3.88352707211829e-15,0.0299328907342705
"51",-0.149191455666776,0.0187891558799386,-0.00240326285611256,0.00104637860596216,3.6322707975894e-15,0.021754435841287
"52",-0.150613044878623,0.0189292127264671,-0.00254528507691036,0.00105402084830892,3.19942314490963e-15,0.0158473629672874
"53",-0.151976979564676,0.019066428900561,-0.00269017836028592,0.00106150957619547,2.86352000893252e-15,0.0113565337618442
"54",-0.152903853343769,0.019200109554386,-0.00286270266911495,0.00106880572947163,3.03046883429172e-15,0.00746855237526423
"55",-0.153859336389039,0.019331241432391,-0.00303478105568794,0.00107594410249989,3.14199767500122e-15,0.00484952398335152
"56",-0.154873044082139,0.0194584483144716,-0.00320561627564055,0.00108285293088828,3.14149499818945e-15,0.00311562073185138
"57",-0.155971005608915,0.019571732143201,-0.00337042916315548,0.00108899396947611,2.90624059606224e-15,0.00200036269129279
"58",-0.157582725662163,0.0196668350411987,-0.00350414018258285,0.00109411574739285,2.07053789422676e-15,0.00138667536815354
"59",-0.159351388132048,0.0197521541012687,-0.00362676188856542,0.00109870178719883,1.34495289638021e-15,0.000983611757257102
"60",-0.161033007145633,0.0198308132270005,-0.00375491674265485,0.00110291335216521,8.86219926483187e-16,0.000678226859185631
"61",-0.162968473672512,0.0198896161841864,-0.0038685200522353,0.00110600050068929,4.94549824180122e-16,0.000481327094840554
"62",-0.164516069808701,0.0199313974759228,-0.00400801850063569,0.00110811611883928,3.0460091809546e-16,0.000306832834197025
"63",-0.16574782165385,0.0199587583221486,-0.00416877713544074,0.00110941307760636,2.02900547526424e-16,0.000177350533206503
"64",-0.166664477202758,0.0199822852239429,-0.0043489127725753,0.00111049618992607,1.51487838505417e-16,9.35424191230419e-05
"65",-0.167218143159347,0.0200061727483936,-0.0045558603166625,0.00111158466823035,1.31221878894429e-16,4.3553159497608e-05
"66",-0.167451571455494,0.0200284287541525,-0.00478184866137396,0.00111258988787965,1.28772168746361e-16,1.82241979016055e-05
"67",-0.167251110234545,0.0200485675702704,-0.00503203303866927,0.00111349061946477,1.49613662655624e-16,6.64105411465629e-06
"68",-0.166958662197365,0.0200652649652362,-0.00528487767073186,0.00111420535529798,1.78226515327867e-16,2.28139911438207e-06
"69",-0.166606834395325,0.0200821082848746,-0.00553992572333784,0.00111493243252622,2.1740136165504e-16,7.42019696333783e-07
"70",-0.166367737228618,0.0201010991587872,-0.00578915729445396,0.00111577419418027,2.55054529850983e-16,2.37731724202494e-07
"71",-0.165845349535627,0.0201278749150175,-0.00605780771718833,0.00111704628283324,3.43576061826767e-16,6.71031751670794e-08
"72",-0.165380602892191,0.0201566353890632,-0.00632318444589495,0.00111842700267579,4.54378033449337e-16,1.84236765740407e-08
"73",-0.165342107611959,0.0201860762980219,-0.0065615860837863,0.00111984003698494,5.07886366468239e-16,5.5792884745742e-09
"74",-0.165641653264261,0.0202195229247507,-0.00677668858500225,0.00112147918314542,5.0297282513828e-16,1.86383125748678e-09
"75",-0.166543545161839,0.0202521257118741,-0.0069514909997656,0.00112307663708559,3.91514412902857e-16,7.5624893408651e-10
"76",-0.168003201807822,0.0202883373252922,-0.00709086007305423,0.00112487317679626,2.47104233967282e-16,3.7074264545475e-10
"77",-0.17019499884478,0.0203363351813295,-0.00718285913207538,0.00112731983672864,1.20902018186815e-16,2.41107044565704e-10
"78",-0.173098736108179,0.0203972982631051,-0.0072284984069093,0.00113048912638893,4.62340644334848e-17,2.08898038854027e-10
"79",-0.176591538301125,0.0204647016664613,-0.00723785719509305,0.00113401250281005,1.41321761158165e-17,2.25004081573365e-10
"80",-0.18070801565009,0.0205375815350571,-0.00721170719615704,0.00113784300435813,3.37129721103074e-18,2.98550175613753e-10
"81",-0.1853905074838,0.0206105232390044,-0.00714955917645297,0.00114167233944559,6.24976109181672e-19,4.81115398801449e-10
"82",-0.190355285252574,0.0206888110167671,-0.00707149028649311,0.00114579534151502,1.02731696122248e-19,8.4621392292022e-10
"83",-0.195690128620433,0.020776829662561,-0.00697052981829939,0.00115045360108392,1.46367408846784e-20,1.68991456262565e-09
"84",-0.200521153037401,0.0208706878825444,-0.00689933562792007,0.00115543535896414,2.60974864364943e-21,2.87176272142545e-09
"85",-0.204831426163335,0.0209677610544078,-0.00686039142897281,0.00116060299490671,5.86911749333983e-22,4.11383018820401e-09
"86",-0.209018122726225,0.0210681256045596,-0.00682886073055865,0.00116593825983234,1.40536732769427e-22,5.66781637204062e-09
"87",-0.212635252005694,0.0211726934497638,-0.00683107909008453,0.00117151241616413,4.41445741014937e-23,6.60470689473237e-09
"88",-0.215908573471388,0.0212803758110668,-0.00685216436903936,0.00117726155307156,1.64312439424941e-23,7.02793224518982e-09
"89",-0.219159200311092,0.0213884312395703,-0.00687377566235617,0.00118302240114818,6.19906621357331e-24,7.4560928147083e-09
"90",-0.222455069471127,0.021504755597699,-0.00689048548903383,0.00118924389147724,2.38617271147225e-24,8.20473182650171e-09
"91",-0.225907743431019,0.0216295874603776,-0.00689610773551708,0.00119592735193164,8.92768946265715e-25,9.64165251374931e-09
"92",-0.229688941967134,0.0217560766371235,-0.00687973741682186,0.00120271096428507,2.90611023176908e-25,1.25968686029887e-08
"93",-0.234071664103931,0.0218779126171183,-0.00682244885112124,0.00120925863475099,7.0277327720218e-26,1.97456198994999e-08
"94",-0.238234958953982,0.0219988609519106,-0.00677901627504635,0.00121577204245489,1.87311184570334e-26,2.87010435944655e-08
"95",-0.242608523514012,0.0221271777331033,-0.00672515706661786,0.00122267804880609,4.70567006907361e-27,4.3834316892035e-08
"96",-0.247252739754164,0.0222671092348399,-0.00665178425488711,0.0012302271121195,1.10832328683829e-27,7.34556574476625e-08
"97",-0.251599186613288,0.0224053810999935,-0.00659454013160749,0.00123767957746428,2.98494355412571e-28,1.12853135525691e-07
"98",-0.256199274856263,0.0225406434072183,-0.00652214566938199,0.00124496059300754,7.04810655396284e-29,1.82325443247091e-07
"99",-0.261139614921672,0.0226635910622902,-0.0064288558946133,0.00125154317256361,1.32845736530919e-29,3.12667436954528e-07
"100",-0.265911331158784,0.0227843511518648,-0.00634842893569664,0.00125797069508388,2.67911706602969e-30,4.99474592035578e-07
"101",-0.270747383137688,0.0229114000698767,-0.00626335805445876,0.00126473790018525,5.43023799304711e-31,8.08492128774092e-07
"102",-0.275344123910537,0.0230410169654224,-0.00619110394116191,0.00127165699914146,1.25515940566192e-31,1.23182202397273e-06
