,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
138,0.000112692,0.001720657,1.09E-05,0.000433987,1.04E-23,7.87E-05
139,0.000113955,0.001756183,1.09E-05,0.00043183,2.13E-24,5.14E-05
140,0.000115145,0.001786505,1.08E-05,0.000429816,4.66E-25,3.51E-05
141,0.000116373,0.001812587,1.08E-05,0.000427785,9.47E-26,2.47E-05
142,0.000117728,0.001835386,1.07E-05,0.000425739,1.65E-26,1.78E-05
143,0.000119092,0.001853021,1.07E-05,0.00042366,2.72E-27,1.35E-05
144,0.000120484,0.001871792,1.06E-05,0.000421597,4.20E-28,1.00E-05
145,0.000121837,0.001891322,1.06E-05,0.000419514,6.44E-29,7.30E-06
146,0.00012309,0.00190441,1.05E-05,0.000417512,1.07E-29,5.71E-06
147,0.000124532,0.001915596,1.05E-05,0.000415752,1.52E-30,4.60E-06
148,0.000125767,0.001927033,1.04E-05,0.00041389,2.48E-31,3.66E-06
149,0.000126748,0.001937847,1.04E-05,0.00041207,5.15E-32,2.92E-06
150,0.000127657,0.001949615,1.03E-05,0.00041029,1.13E-32,2.31E-06
151,0.000128648,0.001962982,1.03E-05,0.00040841,2.16E-33,1.77E-06
152,0.000129123,0.001965883,1.02E-05,0.000406364,6.55E-34,1.52E-06
153,0.000129541,0.001963687,1.02E-05,0.000404448,2.17E-34,1.39E-06
154,0.000129981,0.001960168,1.02E-05,0.000402532,6.89E-35,1.30E-06
155,0.000130359,0.001956353,1.01E-05,0.000400769,2.43E-35,1.22E-06
156,0.000130672,0.001948761,1.01E-05,0.000399037,9.21E-36,1.21E-06
157,0.00013105,0.001938965,1.00E-05,0.000397373,3.28E-36,1.24E-06
158,0.000131321,0.001929874,9.98E-06,0.00039562,1.26E-36,1.24E-06
159,0.000131753,0.001922212,9.93E-06,0.000393731,3.75E-37,1.22E-06
160,0.00013225,0.00191097,9.88E-06,0.000391828,1.01E-37,1.25E-06
161,0.000132727,0.001897288,9.84E-06,0.000390028,2.87E-38,1.33E-06
162,0.000133296,0.001889744,9.79E-06,0.000388245,7.19E-39,1.31E-06
163,0.000133776,0.001881104,9.74E-06,0.000386365,1.88E-39,1.30E-06
164,0.000134129,0.001867016,9.70E-06,0.000384482,5.62E-40,1.39E-06
165,0.000134535,0.001850312,9.65E-06,0.000382612,1.55E-40,1.53E-06
166,0.000134935,0.001836659,9.60E-06,0.000380735,4.24E-41,1.62E-06
167,0.000135379,0.001825821,9.56E-06,0.000378903,1.09E-41,1.67E-06
168,0.000135707,0.001811665,9.51E-06,0.000377169,3.34E-42,1.80E-06
169,0.000135785,0.001790269,9.47E-06,0.000375453,1.39E-42,2.13E-06
170,0.000135777,0.0017657,9.43E-06,0.00037392,6.94E-43,2.66E-06
171,0.000135643,0.001743153,9.40E-06,0.000372596,4.46E-43,3.28E-06
172,0.000135416,0.001723841,9.37E-06,0.00037136,3.35E-43,3.91E-06
173,0.000135093,0.001706383,9.34E-06,0.000370268,3.04E-43,4.58E-06
174,0.000134664,0.001693846,9.31E-06,0.000369152,3.12E-43,5.03E-06
175,0.000134204,0.001687324,9.28E-06,0.000368002,3.29E-43,5.11E-06
176,0.000133669,0.001683242,9.25E-06,0.000366904,3.92E-43,5.05E-06
177,0.000133136,0.001678897,9.23E-06,0.000365894,4.86E-43,5.03E-06
178,0.00013255,0.001673295,9.20E-06,0.000364773,6.13E-43,5.06E-06
179,0.000131866,0.001668045,9.17E-06,0.0003637,9.01E-43,5.08E-06
180,0.000131162,0.001666364,9.14E-06,0.000362623,1.36E-42,4.87E-06
181,0.000130374,0.001661655,9.12E-06,0.000361492,2.23E-42,4.84E-06
182,0.000129594,0.00165359,9.09E-06,0.000360421,3.75E-42,5.04E-06
183,0.000128925,0.001646238,9.06E-06,0.000359269,5.24E-42,5.18E-06
184,0.000128359,0.001642864,9.03E-06,0.000358054,6.22E-42,5.03E-06
185,0.000127863,0.001647662,9.00E-06,0.000356688,6.27E-42,4.35E-06
186,0.000127502,0.001651515,8.96E-06,0.000355393,5.47E-42,3.81E-06
187,0.000127306,0.001657653,8.93E-06,0.000354055,3.74E-42,3.23E-06
188,0.000127185,0.001669195,8.89E-06,0.00035264,2.22E-42,2.52E-06
189,0.000127215,0.001684846,8.86E-06,0.000351255,1.09E-42,1.86E-06
